Broken Ladder - Jeremy Black,"[5.3005122e-05 6.7729343e-05 7.5203585e-05 ... 9.7801052e-03 3.8144220e-02
 3.7837829e-02]"
Broken Ladder - Jeremy Black,[0.19804347 0.25504547 0.27117175 ... 0.1475121  0.1495066  0.13671742]
Broken Ladder - Jeremy Black,[0.28337473 0.3441805  0.38798755 ... 0.09502502 0.09571728 0.08219449]
Broken Ladder - Jeremy Black,[0.23703632 0.285982   0.3076739  ... 0.1110809  0.12699048 0.11411686]
BSC State of Mind - Squadda B,[0.06391629 0.15958147 0.28518337 ... 0.01530339 0.0155648  0.01451782]
BSC State of Mind - Squadda B,[0.11394817 0.22483179 0.33702385 ... 0.00069749 0.00067416 0.00057321]
Built to Last (Instrumental) - NEFFEX,[0.         0.         0.         ... 0.14190872 0.141374   0.12541051]
Built to Last (Instrumental) - NEFFEX,[0.10133416 0.12384539 0.1449056  ... 0.13601717 0.13808887 0.12252934]
Burbank Late Nights - Squadda B,[0.04200379 0.19337262 0.3096531  ... 0.18991873 0.15802285 0.08945977]
Burbank Late Nights - Squadda B,[0.10713335 0.2293536  0.3347602  ... 0.19079505 0.15887365 0.08969937]
Busy City - TrackTribe,[0.04505086 0.05330563 0.05500657 ... 0.07473785 0.06617787 0.05835471]
Busy City - TrackTribe,[0.04323613 0.05073725 0.05616105 ... 0.07164687 0.07313649 0.06923827]
By the Fireplace - TrackTribe,[0.00029594 0.00092824 0.003668   ... 0.01074517 0.00948364 0.00788686]
By the Fireplace - TrackTribe,[0.01694813 0.02331762 0.02658055 ... 0.03202184 0.0314289  0.02656269]
By the Fireplace - TrackTribe,[0.02224301 0.02842854 0.03640306 ... 0.0137258  0.01479078 0.01287268]
By the Fireplace - TrackTribe,[0.01658016 0.0194119  0.02113079 ... 0.02053232 0.02007722 0.01708213]
Campfire - Telecasted,"[1.47781057e-05 2.44259809e-05 3.61784005e-05 ... 1.22606531e-01
 1.29938141e-01 1.03447214e-01]"
Cattle - Telecasted,"[5.3947966e-05 6.6072498e-05 7.6293945e-05 ... 2.6042074e-01 2.4129905e-01
 1.9400582e-01]"
"Chasing the Dragons - Joel Cummins, Kris Myers, Andy Farag","[1.6400703e-05 2.0373283e-05 2.4149813e-05 ... 2.0460929e-01 1.7570566e-01
 1.4635909e-01]"
