Born a Rockstar - NEFFEX,[0.317452   0.30709448 0.2893681  ... 0.12625986 0.16159984 0.24944864]
Born a Rockstar - NEFFEX,"[ 0.2574542   0.21375681  0.18135057 ... -0.10756277 -0.07967523
 -0.10716043]"
Break Your Lock and Key - Mini Vandals,"[-7.8322353e-07 -6.0237335e-07  1.6004533e-06 ...  2.7030971e-02
  3.2666434e-02  1.9655690e-02]"
Break Your Lock and Key - Mini Vandals,"[-0.01523226  0.00851046  0.02187862 ...  0.07348181  0.05235307
  0.07530085]"
Breatha - josh pan,"[-0.00144355 -0.00140255 -0.00134627 ...  0.11378226  0.11324319
  0.11239825]"
Breatha - josh pan,"[-0.02364637 -0.01993216 -0.01670106 ... -0.00812438 -0.00680283
 -0.00722805]"
Breatha - josh pan,"[-4.6315761e-03 -3.2595762e-03 -4.1461308e-03 ... -3.3567676e-06
  4.2695829e-06 -3.4350292e-06]"
Breeze - Telecasted,"[ 1.8786193e-06  2.7939728e-05 -2.3412176e-05 ... -6.7759797e-02
 -4.9490079e-02 -7.0076123e-02]"
Breeze - Telecasted,"[-0.08347113 -0.05436685 -0.05580543 ...  0.0050231   0.00260326
 -0.00802866]"
Broken Ladder - Jeremy Black,"[1.6118302e-05 2.5697012e-05 2.5898430e-06 ... 2.3696369e-02 2.6780026e-02
 3.6549312e-03]"
Broken Ladder - Jeremy Black,"[-0.034175   -0.03837349 -0.05730949 ... -0.09556198 -0.05121491
 -0.04183839]"
Broken Ladder - Jeremy Black,"[-0.00848245 -0.09818882 -0.15080407 ...  0.07377532  0.05943402
  0.10447888]"
Broken Ladder - Jeremy Black,[0.16939119 0.1284582  0.15083553 ... 0.16645761 0.15146105 0.19396801]
BSC State of Mind - Squadda B,"[ 0.00079185  0.00011879 -0.00020047 ...  0.00105777  0.00092943
  0.00171201]"
BSC State of Mind - Squadda B,"[ 6.0733501e-03  5.7044406e-03  2.4566879e-03 ...  7.2005096e-06
 -4.0062641e-06  6.8198766e-05]"
Built to Last (Instrumental) - NEFFEX,"[ 0.          0.          0.         ... -0.03234379 -0.03722756
 -0.04325523]"
Built to Last (Instrumental) - NEFFEX,"[-0.03555544 -0.02733645 -0.02188719 ... -0.01984567 -0.01776401
 -0.01790761]"
Burbank Late Nights - Squadda B,"[-0.0020014  -0.00181041 -0.00135232 ...  0.05451733  0.05095026
  0.05891757]"
Burbank Late Nights - Squadda B,[0.01522545 0.01717967 0.0252242  ... 0.05318857 0.04968274 0.05934879]
Busy City - TrackTribe,"[ 0.02029718  0.02126107  0.02129533 ... -0.00211274 -0.00263905
 -0.0055087 ]"
Busy City - TrackTribe,"[-0.02821143 -0.02559277 -0.01843849 ...  0.00436662 -0.01124604
 -0.00425933]"
By the Fireplace - TrackTribe,"[-1.11221070e-05 -8.10487836e-06 -1.36797335e-05 ... -4.48066462e-03
 -6.60311431e-04 -4.60190838e-03]"
By the Fireplace - TrackTribe,"[-0.00164763 -0.00025124 -0.00082863 ...  0.00420371  0.00961722
  0.01238779]"
By the Fireplace - TrackTribe,"[ 0.0059844   0.00291853  0.00666255 ...  0.01280342 -0.0270179
  0.03550456]"
By the Fireplace - TrackTribe,"[-0.03511943  0.02927668 -0.0122216  ... -0.00026986 -0.00055688
 -0.00076918]"
Campfire - Telecasted,"[-1.7227430e-06 -2.0176390e-06 -2.3929729e-06 ...  1.9455574e-02
  1.3314125e-02  2.8016610e-04]"
Cattle - Telecasted,"[ 2.1671633e-05  2.8063962e-05  3.0561132e-05 ... -3.7249075e-03
  2.8564304e-03 -1.4509363e-02]"
